,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,pH,sulphates,alcohol,quality
0,7.0,0.27,0.36,20.7,0.045,45.0,170.0,3.0,0.45,8.8,6
1,8.1,0.22,0.43,1.5,0.044000000000000004,28.0,129.0,3.22,0.45,11.0,6
2,7.9,0.18,0.37,1.2,0.04,16.0,75.0,3.18,0.63,10.8,6
3,8.3,0.42,0.62,19.25,0.04,41.0,172.0,2.98,0.67,9.7,5
4,6.5,0.31,0.14,7.5,0.044000000000000004,34.0,133.0,3.22,0.5,9.5,5
5,6.2,0.66,0.48,1.2,0.028999999999999998,29.0,75.0,3.33,0.39,12.8,6
6,6.4,0.31,0.38,2.9,0.038,19.0,102.0,3.17,0.35,11.0,6
7,6.8,0.26,0.42,1.7,0.049,41.0,122.0,3.47,0.48,10.5,6
8,7.0,0.28,0.39,8.7,0.051,32.0,141.0,3.38,0.53,10.5,6
9,7.4,0.27,0.48,1.1,0.047,17.0,132.0,3.19,0.49,11.6,6
10,6.2,0.12,0.34,1.5,0.045,43.0,117.0,3.42,0.51,9.0,6
11,7.3,0.24,0.39,17.95,0.057,45.0,149.0,3.21,0.36,8.6,5
12,6.7,0.24,0.39,2.9,0.17300000000000001,63.0,157.0,3.1,0.34,9.4,6
13,7.0,0.31,0.26,7.4,0.069,28.0,160.0,3.13,0.46,9.8,6
14,6.2,0.16,0.33,1.1,0.057,21.0,82.0,3.32,0.46,10.9,6
15,6.0,0.19,0.26,12.4,0.048,50.0,147.0,3.3,0.36,8.9,5
16,7.4,0.2,0.36,1.2,0.038,44.0,111.0,3.36,0.34,9.9,6
17,6.8,0.22,0.24,4.9,0.092,30.0,123.0,3.03,0.46,8.6,5
18,7.0,0.47,0.07,1.1,0.035,17.0,151.0,3.02,0.34,10.5,5
19,7.2,0.24,0.27,1.4,0.038,31.0,122.0,3.15,0.46,10.3,6
20,6.8,0.3,0.23,4.6,0.061,50.5,238.5,3.32,0.6,9.5,5
21,6.0,0.27,0.28,4.8,0.063,31.0,201.0,3.69,0.71,10.0,5
22,7.4,0.24,0.29,10.1,0.05,21.0,105.0,3.13,0.35,9.5,5
23,6.7,0.54,0.28,5.4,0.06,21.0,105.0,3.27,0.37,9.0,5
24,7.1,0.44,0.62,11.8,0.044000000000000004,52.0,152.0,3.12,0.46,8.7,6
25,6.8,0.25,0.31,13.3,0.05,69.0,202.0,3.22,0.48,9.7,5
26,7.1,0.43,0.61,11.8,0.045,54.0,155.0,3.11,0.45,8.7,5
27,7.1,0.26,0.29,12.4,0.044000000000000004,62.0,240.0,3.04,0.42,9.2,6
28,7.4,0.25,0.37,13.5,0.06,52.0,192.0,3.0,0.44,9.1,5
29,6.0,0.21,0.24,12.1,0.05,55.0,164.0,3.34,0.39,9.4,5
30,7.5,0.305,0.4,18.9,0.059000000000000004,44.0,170.0,2.99,0.46,9.0,5
31,7.3,0.13,0.32,14.4,0.051,34.0,109.0,3.2,0.35,9.2,6
32,7.1,0.12,0.32,9.6,0.054000000000000006,64.0,162.0,3.4,0.41,9.4,6
33,7.2,0.31,0.5,13.3,0.055999999999999994,68.0,195.0,3.01,0.47,9.2,5
